,year,month,day,year_col,title,genre_final,gross_adj,budget_adj,female_dist7,male_dist7,gender_majority
0,2000,6,29,1,Anaknya Sazali,COMEDY,333817.29723564425,2302110.3554999996,0.428571429,0.571428571,Male
1,2000,4,6,2,Mimpi Moon,ROMANTIC_COMEDY,851196.9549592357,2302110.3554999996,0.428571429,0.571428571,Male
2,2000,12,27,3,Syukur 21,SCIFI/FANTASY,1534740.2369999997,5371590.829499999,0.28571428600000004,0.7142857140000001,Male
3,2000,8,31,4,Leftenan Adnan,ACTION,1650915.4687201888,3836850.5925,0.14285714300000002,0.857142857,Male
4,2000,9,28,5,Soal Hati,ROMANTIC_COMEDY,2122751.5871315864,1841688.2843999998,0.28571428600000004,0.7142857140000001,Male
5,2000,1,8,6,Pasrah,ROMANCE,4207444.977466691,2302110.3554999996,0.28571428600000004,0.7142857140000001,Male
6,2000,5,25,7,Senario Lagi,ADVENTURE,6711116.298194447,2302110.3554999996,0.28571428600000004,0.7142857140000001,Male
7,2001,9,13,1,Cheritera,ANIMATION,3621.301774992,1416784.732,0.28571428600000004,0.7142857140000001,Male
8,2001,10,25,2,Kaki Bakar,DRAMA,4373.614467684,0.0,0.28571428600000004,0.7142857140000001,Male
9,2001,11,1,3,The Deadly Disciple,ACTION_COMEDY,49323.74530998552,1700141.6784,0.428571429,0.571428571,Male
10,2001,8,2,4,Dari Jemapoh ke Manchestee,COMEDY,51261.5384593312,708392.366,0.28571428600000004,0.7142857140000001,Male
11,2001,9,27,5,Cinta Tiada Restu,MUSICAL,52807.392280416396,1246770.56416,0.571428571,0.428571429,Female
12,2001,7,19,6,No Problem,ROMANTIC_COMEDY,212517.7098,1416784.732,0.28571428600000004,0.7142857140000001,Male
13,2001,6,28,7,Sara,ROMANTIC_COMEDY,249467.45561056,1841820.1516,0.28571428600000004,0.7142857140000001,Male
14,2001,10,18,8,Spinning Gasing,ROMANCE,686361.4200887892,3400283.3568,0.28571428600000004,0.7142857140000001,Male
15,2001,5,24,9,Seri Dewi Malam,THRILLER,866006.7630262993,1770980.915,0.428571429,0.571428571,Male
16,2001,8,30,10,Getaran,ROMANCE,1191005.91710848,1204267.0222,0.428571429,0.571428571,Male
17,2001,3,1,11,Gerak Khas The Movie,THRILLER,6233852.8208,1912659.3882,0.571428571,0.428571429,Female
18,2001,12,14,12,Lagi Lagi Senario,COMEDY,8970245.855935112,2266855.5712,0.28571428600000004,0.7142857140000001,Male
19,2002,12,6,1,Cinta 200 Ela,ROMANCE,271180.86945,198865.97093,0.428571429,0.571428571,Male
20,2002,3,28,2,Mendam Berahi,ACTION,397731.94186,3308406.60729,0.571428571,0.428571429,Female
21,2002,8,1,3,Embun,ROMANCE,1717478.83985,5423617.389,0.428571429,0.571428571,Male
22,2002,3,7,4,Idola,ROMANTIC_COMEDY,1735557.56448,1753636.28911,0.571428571,0.428571429,Female
23,2002,12,20,5,Soalnya Siapa?,ROMANTIC_COMEDY,3977319.4186,1988659.7093,0.428571429,0.571428571,Male
24,2002,8,29,6,Mr. Cinderella,ROMANTIC_COMEDY,4573917.33139,2277919.30338,0.571428571,0.428571429,Female
25,2002,12,6,7,Mami Jarum,COMEDY,4845098.20084,2458706.54968,0.7142857140000001,0.28571428600000004,Female
26,2002,1,24,8,KL Menjerit,ACTION,5188593.96881,1753636.28911,0.28571428600000004,0.7142857140000001,Male
27,2002,2,21,9,Anak Mami The Movie,COMEDY,5315145.04122,2531021.4482,0.7142857140000001,0.28571428600000004,Female
28,2002,5,23,10,Gerak Khas The Movie II,THRILLER,5550168.46141,2711808.6945,0.571428571,0.428571429,Female
29,2003,7,10,1,Paloh,DRAMA,152554.68564,4369602.06726,0.428571429,0.571428571,Male
30,2003,6,26,2,Black Maria,DRAMA,163451.4489,1111469.85252,0.571428571,0.428571429,Female
31,2003,8,28,3,Diari Romeo,COMEDY,348696.42432,1209540.72186,0.428571429,0.571428571,Male
32,2003,2,27,4,Iskandar,ACTION_COMEDY,479457.58344,1133263.37904,0.28571428600000004,0.7142857140000001,Male
33,2003,9,4,5,Aku Kaya The Movie,COMEDY,664702.55886,784566.95472,0.28571428600000004,0.7142857140000001,Male
34,2003,12,25,6,Gila Bola,COMEDY,686496.08538,1416579.2238,0.428571429,0.571428571,Male
