year,month,day,title,director,cast,genre,href,budget,box_office,gender_1,gender_2,gender_3,gender_4,gender_5,gender_director
2000,1,8,Pasrah,Yusof Haslam,"Erra Fazira, Norman Hakim, Wilma Muhammad, Abby Abadi, Mazlan Senario, AC Mizal, Khairil Anwar, Rosnah Johari, Latiff Ibrahim, Kartina Aziz, A. Galak, Radhi Khalid, Farid Amirul, Sharifah Shahora",Drama / Romance,,3322833,3905780,Female,Male,Female,Female,Male,Female
2000,4,6,Mimpi Moon,Shuhaimi Baba,"Rashidi Ishak, Kavita Sidhu, Jalaluddin Hassan, Ning Baizura, Afdlin Shauki, Asha Gill, Anuar Kamaruddin, Shamsul Cairel, Iskandar Najmudin, Erna Elliyana, Mohd Haikaldin, Ida Nerina, Sarimah Ibrahim, Jit Murad, Melissa Saila, Saiful Apek, Naa Murad, Joanna Bessey, Kamal Kadir, Adriani Wahjanto, Kher Cheng Guan, Ross Hadi",Comedy / Romance,,1064924,2644601,Female,Male,Male,Male,Male,Male
2000,5,25,Senario Lagi,Aziz M. Osman,"Azlee Jaafar, Mazlan Ahmad, Wahid Mohamad, Saiful Apek, Yassin Yahaya, Syanie Hisham, Umie Aida, Al-Fariz Ismail, Siti Nora 'Bobbi', Ahmad Idham, Amy Mastura, Azhar Sulaiman, Aziz M. Osman, Effa Ismail, Jalaluddin Hassan, Lydiawati, Mustapha Kamal, Nina Juren, Nor Aliah Lee, Pansha, Zulkifli Zain, Said Prono, Abd Rahman Abdullah, Zaidi Rock, Khairul Rizal Ramli",Adventure / Comedy,,5267181,6249584,Female,Female,Female,Male,Male,Male
2000,6,29,Anaknya Sazali,,"Ahmad Idham, M. Rajoli, Azean Irdawaty, Noraini Morat, Jasmin Hamid, Badrul Muhayat, Hafiz Asyaraf, Ahmad B, Bibi Yem, Kartina Aziz, Ismail Din, Jalaluddin Hassan, Natasha Nasir, Rosnah Johari, Fadilah Mansor, Normala Omar, Fadhil Dani, Rashidah Jaafar, Lan Zailan, Sheila Mambo, Nisdawati Nazaruddin, Dilla Ahmad",Comedy / Family,,3830290,8654381,Female,Female,Female,Female,Female,Female
2000,8,31,Leftenan Adnan,Aziz M. Osman,"Hairie Othman, Umie Aida, Farid Amirul, Faizal Hussein, Rusdi Ramli, Shaharuddin Thamby, Wahid Senario, M. Osman, Sherie Merlis, Rambo Chin, TS Jeffry, Johan Abdullah, Zul Yahya, Omar Nasrulhaq, Mohd Sany Royan, Mohd Razak Omar, Suhaimi Sulong, Ghazali Ismail, M. Zaidi Mohd Zain, M. Zam Azhari Zainudin, M. Khalid Ismail, Wan Shakri Wan Ee, Kamaruzaman Ariffin",Action / Historical,,5549935,2567404,Male,Male,Male,Male,Male,Female
2000,9,28,Soal Hati,Othman Hafsham,"Erra Fazira, Afdlin Shauki, Zaibo, Piee, Khatijah Tan, Chef Wan, Shamsul Ghau Ghau, Sathiya, Khairul Azhar, Ali Mamak, Sharmaine Arnaiz, Noor Azizah, Rubiah Suparman, Othman Hafsham, Anuar Zain, Linda Onn, Najihah Azlisham, Osman Kering, Albert Yeo Hock Gim, Azrol Nizam Razlan, Carmen Thien, Emillia Azyyati Abd Rahman, George Teoh, Harlym Yeo Hock Lim, Hashim Othman, Kanjana Dewi, Mohd Yusuf Ahmad, Mohd Ridzuan Mohd Anuar, Shaleen Cheah Beow Lin, Vicky Wong Meow Yin, Yoga, Zulkifly Jaya, Ismail Saman",Comedy / Romance,,3380016,4628189,Male,Female,Male,Male,,Male
2000,12,27,Syukur 21,Eddie Pak,"Nazrey Raihan, Che Amran Raihan, Abu Bakar Raihan, Zairi Raihan, Yassin Brothers, Norzizi Zulkifli, Eisya, Mustapha Kamal, Man Bai, Umi Kalthum, Mahyon Ismail, Yang Kassim, Ellie Suriaty, Mazlan Ahmad, Dharma Harun, Rohimi Sobeng, Ismadi Wakiri, Rika Yulianty",Drama / Science fiction,,9360828,6933248,Male,Male,Female,Male,Female,Female
2001,3,1,Gerak Khas The Movie,Yusof Haslam,"AC Mizal, Abby Abadi, Erra Fazira, Normala Samsudin, Rosyam Nor, Norman Hakim, Nasha Aziz, Mazlan Pet Pet, Yusof Haslam, Shaharon Anuar, A. Galak, Farid Amirul, Din Maidin, Zul Yahya",Action / Crime,,3777594,7040331,Female,Female,Male,Female,Female,Female
2001,5,24,Seri Dewi Malam,Aziz M. Osman,"Hairie Othman, Jeslina Hashim, Maya Karin, Khatijah Tan, Rashidi Ishak, Danny X-Factor, Ahmad Tarmimi Serigar, Hamidah Wahab, Redzuan Hashim, Arash, Nurul Jasmin Deo, Sharifah Shahora, M. Osman, Shukery Hashim, Aziz M. Osman, Rosli Mahmod",Mystery / Romance,,5313335,2121073,Female,Male,Female,Male,Female,Male
2001,6,28,Sara,Along Kamaruddin,"Ida Nerina, Shamsul Ghau Ghau, Zahim Albakri, Hisham Ahmad Tajudin, Zami Ismail, Piee, Soosan Ho, Eja, Loloq, Ropi (Cecupak)",Comedy / Romance,,998377,3149569,Female,Male,Female,Male,Female,Female
2001,7,19,No Problem,Z. Lokman,"Opie Zami, Danny X-Factor, Maya Karin, Zami Ismail, Rosnah Mat Aris, Shamsul Ghau Ghau, Abon, Zila Bakarin, Zul Yahya, Yasin Sulaiman, Ann Ishar, Elly Hayanti, Azmi Din",Comedy / Romance,,6698607,9253283,Female,Male,Male,Female,Female,Female
2001,8,2,Dari Jemapoh ke Manchestee,Hishamuddin Rais,"Acui Zul Karnian, Indra Syahril, Arista Akma, Fariza Azlina, Amran Nasaruddin, Syed Bakar Syed Salim, Razak Khaliq, Maimon Abdul Muttalib, Bohari Ibrahim, Kassim Selamat (The Swallows), Anas Ruzki, Karim Afuan, Kamil Othman, Dollah Seman, Sabrina Ibrahim, Kuman, Alwi Malik, Shahbudin Kassim, Syed Ismail Syed Ali, Kinah Hassan, Yuswan Yusoff, Maznah Che' Zan, Datu Fachruddin Dawila, Wan Azli Wan Jusoh, Hell Angel Chapter Pasoh, Hell Angel Chapter Naga Mas, Hell Angel Chapter Cheras, Hell Angel Chapter Petaseh, Hell Angel Chapter K. Klawang, Hell Angel Chapter Paragon, Rebel Force 2, Kumpulan Carburetor Dung",Comedy / Adventure,,8560807,6434258,Male,Female,Male,Female,Female,Male
2001,8,30,Getaran,Nagaraj,"Awie, Fiza Elite, Faizal Hussein, Aida Rahim, Opie Zami, Nurul Jasmin Deo, Arash, Rashidah Jaafar, Bob Lokman, Kristal, XPDC",Romance / Musical,,5840108,7777276,Female,Female,Female,Female,Male,Male
2001,9,6,Cheritera,Edwin Argh,"Ahmad Tarmimi Serigar, M. Rajoli, Vanida Imran, Azmil Mustapha, Rosnani Jamil, Hafiz Asyaraf, Ebby Yus, Isma Aliff, Harun Salim Bachik, Noor Nikman Dadameah",Animation / Children,,4124639,3121397,Female,Female,Female,,,Female
2001,9,13,Cheritera,Edwin Argh,"Ahmad Tarmimi Serigar, M. Rajoli, Vanida Imran, Azmil Mustapha, Rosnani Jamil, Hafiz Asyaraf, Ebby Yus, Isma Aliff, Harun Salim Bachik, Noor Nikman Dadameah",Animation / Children,,7933946,1328237,Female,Male,Male,Male,Female,Male
2001,9,27,Cinta Tiada Restu,Azman Mohd Yusof,"Salehuddin Hasan, Surni Salasan, Abu Bakar Omar, Kartina Aziz, Jasmin Hamid, Yusof Chong, Aneesa, Opie Zami",Musical / Romance,,415103,5367031,Male,Female,Male,Male,Female,Female
2001,10,18,Spinning Gasing,Teck Tan,"Ellie Suriaty, Craig Fong, Corinne Adri, Edwin R. Sumun, Sanjeet Jarnail, Hani Mohsin, Rosyam Nor, Frankie Lee, Jalaluddin Hassan",Drama / Romance,,3265910,5143522,Female,Male,Male,Female,Female,Male
2001,10,25,Kaki Bakar,U-Wei Saari,"Khalid Salleh, Nasrizal Ngasri, Kuswadinata, Anwar Idris, Azizah Mahzan, Jamaluddin Kadir, Kamarool Yusof, Ochee, Liza Rafar, Azmi Suhaimi (Tam), JD Khalid",Drama,,4185924,3687768,Male,Female,Male,,Female,Female
2001,11,1,The Deadly Disciple,S. Mohan,"Vishal Kotian, Christina Hoh, Sanjay Singh, Jessie Lim, Jacinta Lee, Farouk Hussein, Dalip Singh, Serbegeth Singh, Jins Shamsuddin, Kuswadinata",Action / Comedy / Fantasy,,5193625,8003745,Female,Female,Male,Male,Male,Male
2001,12,14,Lagi Lagi Senario,Aziz M. Osman,"Azlee Senario, Mazlan Senario, Saiful Apek, Wahid Senario, Yassin Senario, Wardina Safiyyah, Ani Maiyuni, Accapan, Robert Kong, Osman Kering, Syanie, Erma Fatima, Aziz M. Osman, Nasir Ali, Prono, William Atkinson",Comedy,,9364213,2857862,Male,Male,Female,Male,Male,Male
2002,1,24,KL Menjerit,Badaruddin Azmi,"Rosyam Nor, Nisdawati, Faizal Hussein, Danny X-Factor, Saiful Apek, Liza Hanim, Hasnul Rahmat, Rashidi Ishak, Rahim Razali, Vanida Imran, Sathiya, Kudsia Kahar, Khairil",Action / Romance,,6812964,2130809,Male,Male,Female,Female,Female,Male
2002,2,21,Anak Mami The Movie,Abdul Razak Mohaideen,"Farouk Hussin, Emylia Rosnaida, Fiza Elite, Shukor Mohaideen, Mas Naida, Zahida Rafik, Norlia Ghani, Cico Harahap, Piee, Ismail Din, Kartina Aziz, Maideen, Wan Maimunah, Eja, Lan Pet Pet, Shafi Khan, Nasir Ali",Comedy / Family,,3153079,3477368,Male,Male,Female,Female,Male,Male
2002,3,7,Idola,Aziz M. Osman,"Norman Hakim, Normala Samsudin, Jeslina Hashim, Sharifah Aleya, Danny X-Factor, Sheila Mambo, Wahid Senario, M. Rajoli, Julie Dahlan, Nor Aliah Lee, Halim Othman, Tuty, Diana Danielle",Romance / Comedy,,7456988,852896,Male,Female,Female,Female,Female,Female
2002,3,28,Mendam Berahi,Z. Lokman,"Nurul Jasmin Deo, Shaleen Cheah, Tracy Trinita, Rita Rudaini, Jalaluddin Hassan, Jaira Gomez, Eizlan Yusof, Zami Ismail, Yasin Sulaiman, Alu T. Gonzalez, Imuda, Mokhtaruddin, Hussein Abu Hassan, Mega Utami",Action / Romance,,5245373,979766,Male,Male,Female,Female,,Male
2002,5,23,Gerak Khas The Movie II,Yusof Haslam,"AC Mizal, Abby Abadi, Juliana Banos, Azri Iskandar, Normala Samsudin, Jalaluddin Hassan, Ida Nerina, Faizal Hussein, Mazlan Pet Pet, Afdlin Shauki, Yusry KRU",Action / Crime,,1263515,4010585,Male,Male,Female,Female,Male,Female
