,year,month,day,title,director,cast,genre,href,gross,budget,writer1(lakon layar),writer2 (script),genre1,genre2,genre3,genre_final,cast1,cast2,cast3,cast4,cast5,cast6,cast7,cast8,cast9,case10,cast1_gender,cast2_gender,cast3_gender,cast4_gender,cast5_gender,cast6_gender,cast7_gender,cast8_gender,cast9_gender,cast10,cast10_gender,male_dist3,female_dist3,male_dist4,female_dist4,male_dist5,female_dist5,male_dist6,female_dist6,male_dist7,female_dist7,male_dist8,female_dist8,male_dist9,female_dist9,male_dist10,female_dist10,gender_majority,year_col
3,2000,6,29,Anaknya Sazali,Jack Ad'Din,"Ahmad Idham, M. Rajoli, Azean Irdawaty, Noraini Morat, Jasmin Hamid, Badrul Muhayat, Hafiz Asyaraf, Ahmad B, Bibi Yem, Kartina Aziz, Ismail Din, Jalaluddin Hassan, Natasha Nasir, Rosnah Johari, Fadilah Mansor, Normala Omar, Fadhil Dani, Rashidah Jaafar, Lan Zailan, Sheila Mambo, Nisdawati Nazaruddin, Dilla Ahmad",Comedy / Family,,217507.36,1500000.00,Jack Ad'Din,Azlina Din,COMEDY,FAMILY,,COMEDY,AHMAD IDHAM, M. RAJOLI, AZEAN IRDAWATY, NORAINI MORAT, JASMIN HAMID, BADRUL MUHAYAT, HAFIZ ASYARAF, AHMAD B, BIBI YEM, KARTINA AZIZ,M,M,F,F,F,M,M,M,F, KARTINA AZIZ,F,0.666666667,0.333333333,0.5,0.5,0.4,0.6,0.5,0.5,0.571428571,0.428571429,0.625,0.375,0.555555556,0.444444444,0.5,0.5,Male,1
1,2000,4,6,Mimpi Moon,Shuhaimi Baba,"Rashidi Ishak, Kavita Sidhu, Jalaluddin Hassan, Ning Baizura, Afdlin Shauki, Asha Gill, Anuar Kamaruddin, Shamsul Cairel, Iskandar Najmudin, Erna Elliyana, Mohd Haikaldin, Ida Nerina, Sarimah Ibrahim, Jit Murad, Melissa Saila, Saiful Apek, Naa Murad, Joanna Bessey, Kamal Kadir, Adriani Wahjanto, Kher Cheng Guan, Ross Hadi",Comedy / Romance,,554619.56,1500000.00,Shuhaimi Baba,,COMEDY,ROMANCE,,ROMANTIC_COMEDY,RASHIDI ISHAK, KAVITA SIDHU, JALALUDDIN HASSAN, NING BAIZURA, AFDLIN SHAUKI, ASHA GILL, ANUAR KAMARUDDIN, SHAMSUL CAIREL, ISKANDAR NAJMUDIN, ERNA ELLIYANA,M,F,M,F,M,F,M,M,M, ERNA ELLIYANA,F,0.666666667,0.333333333,0.5,0.5,0.6,0.4,0.5,0.5,0.571428571,0.428571429,0.625,0.375,0.666666667,0.333333333,0.6,0.4,Male,2
6,2000,12,27,Syukur 21,Eddie Pak,"Nazrey Raihan, Che Amran Raihan, Abu Bakar Raihan, Zairi Raihan, Yassin Brothers, Norzizi Zulkifli, Eisya, Mustapha Kamal, Man Bai, Umi Kalthum, Mahyon Ismail, Yang Kassim, Ellie Suriaty, Mazlan Ahmad, Dharma Harun, Rohimi Sobeng, Ismadi Wakiri, Rika Yulianty",Drama / Science fiction,,1000000.00,3500000.00,Zack Idris,Farihin Abdul Fatah,DRAMA,SCIENCEFICTION,,SCIFI/FANTASY,NAZREY RAIHAN, CHE AMRAN RAIHAN, ABU BAKAR RAIHAN, ZAIRI RAIHAN, YASSIN BROTHERS, NORZIZI ZULKIFLI, EISYA, MUSTAPHA KAMAL, MAN BAI, UMI KALTHUM,M,M,M,M,M,F,F,M,M, UMI KALTHUM,F,1,0,1,0,1,0,0.833333333,0.166666667,0.714285714,0.285714286,0.75,0.25,0.777777778,0.222222222,0.7,0.3,Male,3
4,2000,8,31,Leftenan Adnan,Aziz M. Osman,"Hairie Othman, Umie Aida, Farid Amirul, Faizal Hussein, Rusdi Ramli, Shaharuddin Thamby, Wahid Senario, M. Osman, Sherie Merlis, Rambo Chin, TS Jeffry, Johan Abdullah, Zul Yahya, Omar Nasrulhaq, Mohd Sany Royan, Mohd Razak Omar, Suhaimi Sulong, Ghazali Ismail, M. Zaidi Mohd Zain, M. Zam Azhari Zainudin, M. Khalid Ismail, Wan Shakri Wan Ee, Kamaruzaman Ariffin",Action / Historical,,1075697.00,2500000.00,Aziz M. Osman,,ACTION,HISTORICAL,,ACTION,HAIRIE OTHMAN, UMIE AIDA, FARID AMIRUL, FAIZAL HUSSEIN, RUSDI RAMLI, SHAHARUDDIN THAMBY, WAHID SENARIO, M. OSMAN, SHERIE MERLIS, RAMBO CHIN,M,F,M,M,M,M,M,M,F, RAMBO CHIN,M,0.666666667,0.333333333,0.75,0.25,0.8,0.2,0.833333333,0.166666667,0.857142857,0.142857143,0.875,0.125,0.777777778,0.222222222,0.8,0.2,Male,4
5,2000,9,28,Soal Hati,Othman Hafsham,"Erra Fazira, Afdlin Shauki, Zaibo, Piee, Khatijah Tan, Chef Wan, Shamsul Ghau Ghau, Sathiya, Khairul Azhar, Ali Mamak, Sharmaine Arnaiz, Noor Azizah, Rubiah Suparman, Othman Hafsham, Anuar Zain, Linda Onn, Najihah Azlisham, Osman Kering, Albert Yeo Hock Gim, Azrol Nizam Razlan, Carmen Thien, Emillia Azyyati Abd Rahman, George Teoh, Harlym Yeo Hock Lim, Hashim Othman, Kanjana Dewi, Mohd Yusuf Ahmad, Mohd Ridzuan Mohd Anuar, Shaleen Cheah Beow Lin, Vicky Wong Meow Yin, Yoga, Zulkifly Jaya, Ismail Saman",Comedy / Romance,,1383134.12,1200000.00,Habsah Hassan,,COMEDY,ROMANCE,,ROMANTIC_COMEDY,ERRA FAZIRA, AFDLIN SHAUKI, ZAIBO, PIEE, KHATIJAH TAN, CHEF WAN, SHAMSUL GHAU GHAU, SATHIYA, KHAIRUL AZHAR, ALI MAMAK,F,M,M,M,F,M,M,F,M, ALI MAMAK,M,0.666666667,0.333333333,0.75,0.25,0.6,0.4,0.666666667,0.333333333,0.714285714,0.285714286,0.625,0.375,0.666666667,0.333333333,0.7,0.3,Male,5
0,2000,1,8,Pasrah,Yusof Haslam,"Erra Fazira, Norman Hakim, Wilma Muhammad, Abby Abadi, Mazlan Senario, AC Mizal, Khairil Anwar, Rosnah Johari, Latiff Ibrahim, Kartina Aziz, A. Galak, Radhi Khalid, Farid Amirul, Sharifah Shahora",Drama / Romance,,2741470.43,1500000.00,Yusof Haslam,,DRAMA,ROMANCE,,ROMANCE,ERRA FAZIRA, NORMAN HAKIM, WILMA MUHAMMAD, ABBY ABADI, MAZLAN SENARIO, AC MIZAL, KHAIRIL ANWAR, ROSNAH JOHARI, LATIFF IBRAHIM, KARTINA AZIZ,F,M,M,F,M,M,M,F,M, KARTINA AZIZ,F,0.666666667,0.333333333,0.5,0.5,0.6,0.4,0.666666667,0.333333333,0.714285714,0.285714286,0.625,0.375,0.666666667,0.333333333,0.6,0.4,Male,6
2,2000,5,25,Senario Lagi,Aziz M. Osman,"Azlee Jaafar, Mazlan Ahmad, Wahid Mohamad, Saiful Apek, Yassin Yahaya, Syanie Hisham, Umie Aida, Al-Fariz Ismail, Siti Nora 'Bobbi', Ahmad Idham, Amy Mastura, Azhar Sulaiman, Aziz M. Osman, Effa Ismail, Jalaluddin Hassan, Lydiawati, Mustapha Kamal, Nina Juren, Nor Aliah Lee, Pansha, Zulkifli Zain, Said Prono, Abd Rahman Abdullah, Zaidi Rock, Khairul Rizal Ramli",Adventure / Comedy,,4372802.73,1500000.00,Aziz M. Osman,,ADVENTURE,COMEDY,,ADVENTURE,AZLEE JAAFAR, MAZLAN AHMAD, WAHID MOHAMAD, SAIFUL APEK, YASSIN YAHAYA, SYANIE HISHAM, UMIE AIDA, AL-FARIZ ISMAIL, SITI NORA 'BOBBI', AHMAD IDHAM,M,M,M,M,M,F,F,M,F, AHMAD IDHAM,M,1,0,1,0,1,0,0.833333333,0.166666667,0.714285714,0.285714286,0.75,0.25,0.666666667,0.333333333,0.7,0.3,Male,7
14,2001,9,13,Cheritera,Edwin Argh,"Ahmad Tarmimi Serigar, M. Rajoli, Vanida Imran, Azmil Mustapha, Rosnani Jamil, Hafiz Asyaraf, Ebby Yus, Isma Aliff, Harun Salim Bachik, Noor Nikman Dadameah",Animation / Children,,2556.00,1000000.00,,,ANIMATION,CHILDREN,,ANIMATION,AHMAD TARMIMI SERIGAR, M. RAJOLI, VANIDA IMRAN, AZMIL MUSTAPHA, ROSNANI JAMIL, HAFIZ ASYARAF, EBBY YUS, ISMA ALIFF, HARUN SALIM BACHIK, NOOR NIKMAN DADAMEAH,M,M,F,M,F,M,M,F,M, NOOR NIKMAN DADAMEAH,F,0.666666667,0.333333333,0.75,0.25,0.6,0.4,0.666666667,0.333333333,0.714285714,0.285714286,0.625,0.375,0.666666667,0.333333333,0.6,0.4,Male,1
17,2001,10,25,Kaki Bakar,U-Wei Saari,"Khalid Salleh, Nasrizal Ngasri, Kuswadinata, Anwar Idris, Azizah Mahzan, Jamaluddin Kadir, Kamarool Yusof, Ochee, Liza Rafar, Azmi Suhaimi (Tam), JD Khalid",Drama,,3087.00,1000.00,U-Wei Saari,William Faulkner,DRAMA,,,DRAMA,KHALID SALLEH, NASRIZAL NGASRI, KUSWADINATA, ANWAR IDRIS, AZIZAH MAHZAN, JAMALUDDIN KADIR, KAMAROOL YUSOF, OCHEE, LIZA RAFAR, AZMI SUHAIMI (TAM),M,M,F,M,F,M,M,F,F, AZMI SUHAIMI (TAM),M,0.666666667,0.333333333,0.75,0.25,0.6,0.4,0.666666667,0.333333333,0.714285714,0.285714286,0.625,0.375,0.555555556,0.444444444,0.6,0.4,Male,2
18,2001,11,1,The Deadly Disciple,S. Mohan,"Vishal Kotian, Christina Hoh, Sanjay Singh, Jessie Lim, Jacinta Lee, Farouk Hussein, Dalip Singh, Serbegeth Singh, Jins Shamsuddin, Kuswadinata",Action / Comedy / Fantasy,,34813.86,1200000.00,,,ACTION,COMEDY,FANTASY,ACTION_COMEDY,VISHAL KOTIAN, CHRISTINA HOH, SANJAY SINGH, JESSIE LIM, JACINTA LEE, FAROUK HUSSEIN, DALIP SINGH, SERBEGETH SINGH, JINS SHAMSUDDIN, KUSWADINATA,M,F,M,F,F,M,M,M,M, KUSWADINATA,F,0.666666667,0.333333333,0.5,0.5,0.4,0.6,0.5,0.5,0.571428571,0.428571429,0.625,0.375,0.666666667,0.333333333,0.6,0.4,Male,3
